,Project Full Name,Project Status,Project Startdate,Project Enddate,PR Number,Merged PR Number,First PR Created Time,Comment Length,Merge Frequency,Issue Comment Number,Review Comment Number,Commits number,Stars,Forks,size,contributor
193,apache/Unomi,1,10/5/2015,2/20/2019,357,0,2016-04-25 07:31:29,0,0,362,421,2388,178,91,14941,39
194,apache/Usergrid,1,10/3/2013,8/19/2015,599,0,2013-11-25 17:57:16,0,0,396,280,10954,997,438,383452,78
197,apache/Whirr,1,5/11/2010,8/17/2011,3,0,2011-12-18 18:26:38,0,0,7,0,569,95,60,9902,10
202,apache/Zeppelin,1,12/23/2014,5/18/2016,4177,0,2015-03-25 09:03:23,0,0,22005,7649,5011,5474,2560,98711,322
203,apache/incubator-retired-amaterasu,2,9/7/2017,9/18/2019,58,0,2017-10-30 06:10:33,0,0,24,62,811,56,25,4663,16
204,apache/incubator-ariatosca,2,8/27/2016,7/1/2018,229,0,2016-10-18 08:32:31,0,0,210,1468,190,28,46,1745,12
205,apache/incubator-retired-blur,2,7/24/2012,6/22/2017,5,0,2014-06-22 11:02:09,0,0,6,4,5242,32,32,53376,15
207,apache/incubator-retired-concerted,2,10/14/2015,4/25/2016,3,0,2015-10-25 12:46:35,0,0,4,0,41,9,5,132,3
210,apache/incubator-retired-edgent,2,2/29/2016,11/20/2019,346,0,2016-03-10 19:58:05,0,0,318,242,1398,203,140,25183,18
211,apache/incubator-retired-gearpump,2,3/8/2016,9/19/2018,243,0,2016-04-15 10:22:54,0,0,731,411,2251,300,95,22289,26
212,apache/incubator-retired-gossip,2,4/28/2016,8/21/2018,68,0,2016-05-29 05:05:26,0,0,74,162,194,234,111,1420,11
214,apache/incubator-retired-horn,2,9/4/2015,7/13/2017,31,0,2015-09-24 23:13:28,0,0,13,2,40,28,16,241,3
215,apache/incubator-retired-htrace,2,11/11/2014,4/11/2018,8,0,2015-09-09 00:30:12,0,0,11,10,605,101,65,2769,17
216,apache/incubator-retired-iota,2,1/20/2016,2/15/2018,33,0,2016-05-11 01:58:08,0,0,57,3,190,31,31,3449,7
218,apache/incubator-retired-mrql,2,3/13/2013,8/17/2017,33,0,2015-04-21 17:55:44,0,0,9,0,169,16,15,1282,5
219,apache/incubator-myriad,2,3/1/2015,1/24/2020,131,0,2015-09-27 03:58:08,0,0,309,263,439,153,73,10766,29
223,apache/incubator-retired-openaz,2,1/20/2015,8/26/2016,4,0,2015-12-03 09:07:56,0,0,12,15,66,15,24,15887,4
225,apache/incubator-retired-pirk,2,6/17/2016,4/17/2017,116,0,2016-07-14 04:50:47,0,0,271,219,183,57,24,439565,8
227,apache/incubator-retired-quickstep,2,3/29/2016,12/1/2018,358,0,2016-04-18 05:03:58,0,0,797,1074,970,85,57,12007,21
228,apache/incubator-retired-ripple,2,10/16/2012,12/6/2015,72,0,2013-05-14 23:30:53,0,0,157,36,1144,170,60,9435,36
229,apache/incubator-s2graph,2,11/29/2015,11/29/2020,183,0,2016-01-12 07:22:14,0,0,269,58,1681,260,65,14439,15
230,apache/incubator-retired-s4,2,9/26/2011,6/19/2014,2,0,2012-03-13 17:27:54,0,0,0,0,237,39,18,26686,5
231,apache/incubator-samoa,2,12/15/2014,3/11/2021,71,0,2015-01-27 12:42:57,0,0,268,117,118,238,108,6135,18
232,apache/Sirona,2,10/15/2013,7/3/2017,2,0,2013-11-01 14:46:30,0,0,2,0,893,107,55,6825,9
233,apache/incubator-retired-slider,2,4/29/2014,5/24/2018,2,0,2014-11-10 21:28:39,0,0,0,1,1974,78,75,16472,8
234,apache/incubator-retired-tamaya,2,11/14/2014,4/30/2020,53,0,2014-12-06 12:24:39,0,0,55,29,1575,43,34,7630,10
236,apache/incubator-retired-wave,2,12/4/2010,1/15/2018,25,0,2014-01-12 18:10:58,0,0,105,55,406,185,79,200606,12
237,apache/incubator-weex,2,11/30/2016,5/12/2021,2382,0,2017-01-31 04:35:15,0,0,4907,522,12026,14002,1857,282740,196
238,apache/Zipkin,2,8/29/2018,6/19/2019,2097,0,2012-06-06 18:53:22,0,0,11502,3954,2635,14862,2827,65038,91
